,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,VASP
Ben,14.63229665,19.11897129,12.46909091,15.61868421,15.64177033,16.43406699,17.22074163,14.03169856,13.14755981,20.45805748
NPT,16.86894737,24.71866029,13.34492823,19.97208134,17.21332536,20.91933014,21.25299043,16.23437799,13.96272727,32.1106128
B12,46.65167464,48.6923445,47.80191388,44.94736842,49.79617225,48.6784689,45.97631579,45.31626794,48.11650718,37.22281774
PRD,21.53600478,25.51244019,19.5015311,22.30901914,23.30983254,23.88404306,23.50241627,20.50363636,20.71404306,39.56663711
PYR,41.50956938,40.89593301,43.86794258,40.28373206,41.51339713,41.24808612,41.24258373,42.38229665,42.34736842,26.15081623
CBO,12.04351675,18.70416268,7.355813397,14.34861244,11.91301435,14.22648325,16.27107656,10.38437799,9.128636364,6.35823477
CCH,12.20241627,18.09126794,8.213636364,14.53222488,11.82976077,14.49600478,15.75992823,10.66174641,9.397177033,9.2080753
TPO,35.69665072,38.97583732,35.44641148,35.37942584,38.24712919,37.76722488,36.75598086,34.97129187,36.29114833,27.45982052
DBE,33.7791866,44.60574163,34.26626794,37.56124402,36.16483254,37.40956938,39.54641148,32.04282297,36.04473684,9.79308743
